<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AEX,D,20241217,000000,888.41,892.66,886.5,889.66,0,0
^AOR,D,20241217,000000,8486.3,8572.1,8481.2,8558.6,0,0
^ATH,D,20241217,000000,1463.59,1465.09,1451.33,1452.8,0,0
^BEL20,D,20241217,000000,4230.48,4247.14,4212.06,4240.44,0,0
^BET,D,20241217,000000,17252.1,17295.72,17155.99,17155.99,0,0
^BUX,D,20241217,000000,79720.44,79898.19,78629.94,78829.19,1602166,0
^BVP,D,20241217,000000,123560.06,125301.37,123560.06,124698.04,0,0
^CAC,D,20241217,000000,7321.94,7381.14,7316.48,7365.7,345290845,0
^CDAX,D,20241217,000000,1732.66,1733.67,1724.8,1725.68,0,0
^CRY,D,20241217,000000,290.9299,290.9299,290.9299,290.9299,0,0
^DAX,D,20241217,000000,20290.96,20356.58,20241.5,20246.37,0,0
^DJC,D,20241217,000000,13710.68,13730.91,13653.02,13689.84,0,0
^DJI,D,20241217,000000,43656.47,43656.47,43336.22,43449.9,403697409,0
^DJT,D,20241217,000000,16521.66,16521.66,16349.44,16404.27,0,0
^DJU,D,20241217,000000,991.24,995.81,987.29,991.67,0,0
^FMIB,D,20241217,000000,34474.13,34601.64,34237.82,34315.24,0,0
^FTM,D,20241217,000000,20813.03,20813.03,20542.86,20542.86,0,0
^HEX,D,20241217,000000,9488.8,9488.8,9435.21,9448.83,0,0
^HSI,D,20241217,000000,19678.03,19930.09,19622.99,19700.48,0,0
^IBEX,D,20241217,000000,11712.3,11738.5,11588.1,11588.1,139103718,0
^ICEX,D,20241217,000000,2349.33,2359.53,2343.03,2353.91,0,0
^IPC,D,20241217,000000,50718.05,50928.81,50371.27,50421.61,0,0
^IPSA,D,20241217,000000,6798.98,6806.56,6730.22,6730.22,0,0
^JCI,D,20241217,000000,7253.91,7261.89,7132.11,7157.73,0,0
^KLCI,D,20241217,000000,1605.26,1606.81,1594.51,1597.33,0,0
^KOSPI,D,20241217,000000,2485.31,2485.76,2455.05,2456.81,551371000,0
^MCFTR,D,20241217,000000,5863.37,5863.37,5863.37,5863.37,0,0
^MDAX,D,20241217,000000,26186.1,26186.1,25937.94,25947.84,0,0
^MOEX,D,20241217,000000,2391.49,2414.17,2370.28,2377.15,0,0
