<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AEX,D,20241218,000000,891,894.02,890.19,892.66,0,0
^AOR,D,20241218,000000,8558.2,8591.6,8545.2,8558.6,0,0
^ATH,D,20241218,000000,1453.8,1458.23,1452.55,1455.67,0,0
^BEL20,D,20241218,000000,4252.52,4258.06,4240.67,4251.38,0,0
^BET,D,20241218,000000,17157.23,17158.43,16715.45,16760.96,0,0
^BUX,D,20241218,000000,78828.94,79564.15,78668.87,79243.31,1337898,0
^BVP,D,20241218,000000,124698.5,124698.5,120457.48,120771.88,1182943700,0
^CAC,D,20241218,000000,7378.97,7397.35,7360.06,7384.62,0,0
^CDAX,D,20241218,000000,1725,1731.52,1724.16,1725.55,0,0
^CRY,D,20241218,000000,292.01,292.01,292.01,292.01,0,0
^DAX,D,20241218,000000,20273.85,20329.67,20241.98,20242.57,0,0
^DJC,D,20241218,000000,13691.92,13745.8,13321.59,13328.43,0,0
^DJI,D,20241218,000000,43459.72,43688.97,42300.04,42326.87,452951063,0
^DJT,D,20241218,000000,16409.58,16490.9,15938.14,15949.73,0,0
^DJU,D,20241218,000000,991.39,991.39,964.59,965.04,0,0
^FMIB,D,20241218,000000,34318.44,34505.14,34210.01,34400.99,0,0
^FTM,D,20241218,000000,20555.54,20663.01,20555.54,20601.99,0,0
^HEX,D,20241218,000000,9455.98,9470.69,9422.45,9435.53,0,0
^HSI,D,20241218,000000,19884.54,19953.43,19803.22,19864.55,0,0
^IBEX,D,20241218,000000,11597.8,11669.6,11558.7,11617.9,57768653,0
^ICEX,D,20241218,000000,2353.91,2358.64,2344.89,2349.39,0,0
^IPC,D,20241218,000000,50414.44,50636.9,49896.07,49968.44,240713500,0
^IPSA,D,20241218,000000,6730.22,6746.97,6712.61,6731.49,0,0
^JCI,D,20241218,000000,7171.25,7215.53,7106.28,7107.88,0,0
^KLCI,D,20241218,000000,1597.33,1602.38,1594.75,1599.58,0,0
^KOSPI,D,20241218,000000,2463.06,2492,2463.06,2484.43,426031000,0
^MCFTR,D,20241218,000000,5942.79,5942.79,5942.79,5942.79,0,0
^MDAX,D,20241218,000000,25939.89,25981.89,25849.44,25873.86,0,0
^MOEX,D,20241218,000000,2394.47,2410.19,2380.5,2409.35,0,0
^MOEX10,D,20241218,000000,4412.98,4435.37,4380.49,4433.73,0,0
^MRV,D,20241218,000000,2592200.5,2679556.25,2592200.5,2521016.5,0,0
^MT30,D,20241218,000000,1498.43,1500.52,1492.18,1498.37,0,0
^NDQ,D,20241218,000000,20114.98,20179.77,19336.59,19392.7,6701739818,0
^NDX,D,20241218,000000,21979.53,22038.08,21146.83,21209.32,1491814812,0
^NKX,D,20241218,000000,39176.88,39382.69,39081.71,39081.71,0,0
^NOMUC,D,20241218,000000,30983.43,31196.25,30873.87,31196.25,4351787,0
^NZ50,D,20241218,000000,12865.551,12865.551,12689.91,12778.332,0,0
^OMXC25,D,20241218,000000,1812.585,1827.675,1809.397,1820.591,0,0
^OMXR,D,20241218,000000,867.338,867.338,863.307,865.486,0,0
^OMXS,D,20241218,000000,2536.422,2549.732,2530.173,2537.626,0,0
^OMXT,D,20241218,000000,1738.65,1743.38,1737.96,1742.96,0,0
^OMXV,D,20241218,000000,1064.188,1069.731,1062.772,1068.74,0,0
^OSEAX,D,20241218,000000,1623.38,1631.63,1618.99,1619.46,0,0
^PSEI,D,20241218,000000,6512.49,6520.81,6461.19,6469.08,0,0
^PSI20,D,20241218,000000,6310.02,6345.14,6291.05,6294.53,0,0
^PX,D,20241218,000000,1749.38,1760.99,1749.38,1754.2,0,0
^RTS,D,20241218,000000,732.35,738.75,728.08,738.5,0,0
^RTSTR,D,20241218,000000,1820.49,1820.49,1820.49,1820.49,0,0
^SAX,D,20241218,000000,295.04,295.04,295.04,295.04,0,0
^SDXP,D,20241218,000000,13808.24,13910.26,13808.24,13855.39,0,0
^SET,D,20241218,000000,1399.28,1404.48,1389.24,1398.95,0,0
^SHBS,D,20241218,000000,269.426,273.1339,269.4011,271.8731,45413500,0
^SHC,D,20241218,000000,3371.2955,3396.4603,3371.2955,3382.2081,51252497900,0
^SMI,D,20241218,000000,11706.6,11707.13,11636.79,11638.91,21514410,0
^SNX,D,20241218,000000,80666.26,80865.09,80050.34,80182.2,0,0
^SOFIX,D,20241218,000000,859.94,864.63,853.51,862.47,0,0
^SPX,D,20241218,000000,6047.65,6070.67,5867.79,5872.16,3400301958,0
^STI,D,20241218,000000,3799.69,3799.7,3778.47,3779.62,0,0
^TASI,D,20241218,000000,11951.51,11972.05,11896.59,11961.05,358548441,0
^TDXP,D,20241218,000000,3489.24,3510.19,3489.24,3506.25,0,0
^TOP40,D,20241218,000000,77192.96,77741.52,76765.73,77018.69,137279581,0
^TSX,D,20241218,000000,25081.84,25116.33,24512.68,24557,256306780,0
^TWSE,D,20241218,000000,23014.43,23211.17,22934.59,23168.67,3482594602,0
^UKX,D,20241218,000000,8195.2,8231.84,8191.61,8199.11,0,0
^XU100,D,20241218,000000,10007.26,10052.85,9912.58,9915.76,3309637783,0
CNOCNY1M,D,20241218,000000,1.704,1.704,1.704,1.704,0,0
CNOCNY1W,D,20241218,000000,1.776,1.776,1.776,1.776,0,0
CNOCNY1Y,D,20241218,000000,1.748,1.748,1.748,1.748,0,0
CNOCNY2W,D,20241218,000000,1.994,1.994,1.994,1.994,0,0
CNOCNY3M,D,20241218,000000,1.715,1.715,1.715,1.715,0,0
CNOCNY6M,D,20241218,000000,1.724,1.724,1.724,1.724,0,0
CNOCNY9M,D,20241218,000000,1.738,1.738,1.738,1.738,0,0
CNOCNYON,D,20241218,000000,1.428,1.428,1.428,1.428,0,0
HUOHUF1M,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1W,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF1Y,D,20241218,000000,6.39,6.39,6.39,6.39,0,0
HUOHUF2M,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF2W,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF3M,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
HUOHUF6M,D,20241218,000000,6.48,6.48,6.48,6.48,0,0
HUOHUF9M,D,20241218,000000,6.45,6.45,6.45,6.45,0,0
HUOHUFON,D,20241218,000000,6.5,6.5,6.5,6.5,0,0
PLBPLN1M,D,20241218,000000,5.67,5.67,5.67,5.67,0,0
PLBPLN1W,D,20241218,000000,5.62,5.62,5.62,5.62,0,0
PLBPLN1Y,D,20241218,000000,5.41,5.41,5.41,5.41,0,0
PLBPLN2W,D,20241218,000000,5.64,5.64,5.64,5.64,0,0
PLBPLN3M,D,20241218,000000,5.65,5.65,5.65,5.65,0,0
PLBPLN6M,D,20241218,000000,5.59,5.59,5.59,5.59,0,0
PLBPLNON,D,20241218,000000,5.23,5.23,5.23,5.23,0,0
PLBPLNTN,D,20241218,000000,5.46,5.46,5.46,5.46,0,0
PLOPLN1M,D,20241218,000000,5.87,5.87,5.87,5.87,0,0
PLOPLN1W,D,20241218,000000,5.82,5.82,5.82,5.82,0,0
PLOPLN1Y,D,20241218,000000,5.61,5.61,5.61,5.61,0,0
PLOPLN2W,D,20241218,000000,5.84,5.84,5.84,5.84,0,0
PLOPLN3M,D,20241218,000000,5.85,5.85,5.85,5.85,0,0
PLOPLN6M,D,20241218,000000,5.79,5.79,5.79,5.79,0,0
PLOPLNON,D,20241218,000000,5.53,5.53,5.53,5.53,0,0
PLOPLNTN,D,20241218,000000,5.76,5.76,5.76,5.76,0,0
AUDCAD,D,20241218,000000,0.907109,0.907218,0.897491,0.897836,0,0
AUDCHF,D,20241218,000000,0.565857,0.565903,0.559881,0.560258,0,0
AUDEUR,D,20241218,000000,0.604025,0.60409,0.599829,0.600345,0,0
AUDGBP,D,20241218,000000,0.498569,0.498746,0.494055,0.494369,0,0
AUDJPY,D,20241218,000000,97.2677,97.4229,96.1697,96.1745,0,0
AUDPLN,D,20241218,000000,2.57961,2.58,2.55926,2.56252,0,0
AUDUSD,D,20241218,000000,0.63382,0.63393,0.62142,0.62147,0,0
CADAUD,D,20241218,000000,1.10252,1.11421,1.10227,1.11385,0,0
CADCHF,D,20241218,000000,0.623802,0.624906,0.622441,0.624009,0,0
CADEUR,D,20241218,000000,0.66595,0.669721,0.663998,0.668696,0,0
CADGBP,D,20241218,000000,0.549683,0.551441,0.548776,0.550654,0,0
CADJPY,D,20241218,000000,107.228,107.572,106.977,107.118,0,0
CADPLN,D,20241218,000000,2.84377,2.85766,2.83023,2.8541,0,0
CADUSD,D,20241218,000000,0.698802,0.699056,0.69206,0.692194,0,0
CHFAUD,D,20241218,000000,1.7674,1.78575,1.76708,1.78496,0,0
CHFCAD,D,20241218,000000,1.60306,1.60657,1.60023,1.60251,0,0
CHFEUR,D,20241218,000000,1.06747,1.07262,1.06514,1.07159,0,0
CHFGBP,D,20241218,000000,0.881154,0.883166,0.879439,0.882439,0,0
CHFJPY,D,20241218,000000,171.894,172.555,171.379,171.661,0,0
CHFPLN,D,20241218,000000,4.55876,4.57728,4.53456,4.57382,0,0
CHFUSD,D,20241218,000000,1.12015,1.12136,1.10856,1.10926,0,0
EURAUD,D,20241218,000000,1.65551,1.6673,1.65538,1.66564,0,0
EURCAD,D,20241218,000000,1.50173,1.50602,1.49315,1.49547,0,0
EURCHF,D,20241218,000000,0.936787,0.938837,0.932296,0.933188,0,0
EURGBP,D,20241218,000000,0.825453,0.8278,0.823023,0.823481,0,0
EURJPY,D,20241218,000000,161.028,161.556,159.811,160.192,0,0
EURPLN,D,20241218,000000,4.27059,4.2727,4.25495,4.26823,0,0
EURUSD,D,20241218,000000,1.04935,1.05126,1.03439,1.03515,0,0
GBPAUD,D,20241218,000000,2.00558,2.02414,2.00502,2.02267,0,0
GBPCAD,D,20241218,000000,1.81928,1.82223,1.81342,1.81603,0,0
GBPCHF,D,20241218,000000,1.13487,1.13708,1.13228,1.13322,0,0
GBPEUR,D,20241218,000000,1.21145,1.21503,1.20802,1.21435,0,0
GBPJPY,D,20241218,000000,195.078,195.772,194.081,194.53,0,0
GBPPLN,D,20241218,000000,5.17363,5.18728,5.14551,5.18315,0,0
GBPUSD,D,20241218,000000,1.27124,1.27225,1.25629,1.25704,0,0
JPYAUD,D,20241218,000000,0.0102812,0.0103982,0.0102645,0.0103982,0,0
JPYCAD,D,20241218,000000,0.00932518,0.00934773,0.00929612,0.00933542,0,0
JPYCHF,D,20241218,000000,0.00581751,0.005835,0.00579522,0.00582543,0,0
JPYEUR,D,20241218,000000,0.00621007,0.00625736,0.00618976,0.0062425,0,0
JPYGBP,D,20241218,000000,0.00512613,0.00515246,0.00510796,0.00514058,0,0
JPYPLN,D,20241218,000000,0.0265207,0.0266966,0.0263511,0.0266444,0,0
JPYUSD,D,20241218,000000,0.00651654,0.0065216,0.00645734,0.00646193,0,0
NZDUSD,D,20241218,000000,0.57546,0.57589,0.56172,0.56219,0,0
USDAUD,D,20241218,000000,1.57773,1.60921,1.57746,1.60908,0,0
USDCAD,D,20241218,000000,1.43111,1.44496,1.4305,1.44469,0,0
USDCHF,D,20241218,000000,0.89273,0.90207,0.89177,0.9015,0,0
USDEUR,D,20241218,000000,0.95297,0.966753,0.951239,0.966043,0,0
USDGBP,D,20241218,000000,0.786633,0.795994,0.786009,0.795519,0,0
USDJPY,D,20241218,000000,153.4555,154.8625,153.3365,154.7525,0,0
USDPLN,D,20241218,000000,4.06975,4.1246,4.05285,4.1233,0,0
XAGAUD,D,20241218,000000,48.1679,48.2994,47.0873,47.2084,0,0
XAGCAD,D,20241218,000000,43.6889,43.7563,42.2973,42.4186,0,0
XAGCHF,D,20241218,000000,27.2514,27.2846,26.3967,26.4524,0,0
XAGEUR,D,20241218,000000,29.0937,29.1167,28.275,28.3525,0,0
XAGGBP,D,20241218,000000,24.0147,24.0525,23.2957,23.3481,0,0
XAGJPY,D,20241218,000000,4683.54,4700.1,4534.77,4544.54,0,0
XAGPLN,D,20241218,000000,124.249,124.345,120.713,121.037,0,0
XAGUSD,D,20241218,000000,30.5295,30.5735,29.3125,29.3585,0,0
XAUAUD,D,20241218,000000,4175.4,4199.61,4156.69,4157.22,0,0
XAUCAD,D,20241218,000000,3786.73,3796.04,3732.7,3735.42,0,0
XAUCHF,D,20241218,000000,2362.4,2368.37,2328.86,2329.42,0,0
XAUEUR,D,20241218,000000,2521.76,2525.82,2495.78,2496.75,0,0
XAUGBP,D,20241218,000000,2081.63,2088.41,2055.69,2056.06,0,0
XAUJPY,D,20241218,000000,406139,407659,400014,400197,0,0
XAUPLN,D,20241218,000000,10770.4,10787,10654.7,10658.7,0,0
XAUUSD,D,20241218,000000,2646.345,2651.745,2584.295,2585.34,0,0
ACU.US,D,20241218,000000,41.63,41.63,38.63,38.63,8968,0
AE.US,D,20241218,000000,37.335,37.335,37.25,37.25,10877,0
AEF.US,D,20241218,000000,5.41,5.42,5.27,5.29,144211,0
AEON.US,D,20241218,000000,0.6598,0.6821,0.6265,0.665,145881,0
AIM.US,D,20241218,000000,0.201,0.21,0.196,0.196,800763,0
AIRI.US,D,20241218,000000,4.29,4.58,4.2,4.29,62714,0
AMBI-WS.US,D,20241218,000000,0.33,0.36,0.33,0.3308,24468,0
AMBI.US,D,20241218,000000,5.6,5.72,5.39,5.39,7435,0
AMBO.US,D,20241218,000000,1.4881,1.56,1.48,1.49,3816,0
AMS.US,D,20241218,000000,3.37,3.37,3.19,3.19,27056,0
ANVS.US,D,20241218,000000,5.13,5.21,4.6602,4.71,359781,0
APT.US,D,20241218,000000,5.08,5.3299,5.02,5.02,62439,0
AREN.US,D,20241218,000000,1.73,1.76,1.63,1.65,146022,0
ARMN.US,D,20241218,000000,3.77,3.81,3.55,3.55,752970,0
ARMP.US,D,20241218,000000,1.996,2.0295,1.95,1.95,18667,0
ASM.US,D,20241218,000000,0.99,0.99,0.9,0.9149,1803527,0
ATCH.US,D,20241218,000000,0.206,0.2228,0.1905,0.2003,646612,0
ATNM.US,D,20241218,000000,1.225,1.26,1.16,1.16,383476,0
AUST.US,D,20241218,000000,1.3,1.3,1.12,1.13,110192,0
AWX.US,D,20241218,000000,3.1947,3.289,3.17,3.17,2361,0
AXIL.US,D,20241218,000000,4,4,3.76,3.76,3723,0
AZTR.US,D,20241218,000000,0.4269,0.4492,0.3803,0.3846,220208,0
BATL.US,D,20241218,000000,2.7946,2.94,2.49,2.5,36644,0
BCV.US,D,20241218,000000,18.15,18.17,17.73,17.73,65367,0
BCV_A.US,D,20241218,000000,23.63,23.93,23.62,23.75,1087,0
BDL.US,D,20241218,000000,24.01,24.4,24.01,24.25,848,0
BEEP.US,D,20241218,000000,4.28,4.62,4.1551,4.27,131631,0
BGI.US,D,20241218,000000,1.61,1.67,1.58,1.62,9541,0
BHB.US,D,20241218,000000,34.35,34.7,31.72,31.99,60079,0
